CS_MIME_AAC,aac,audio/aac
CS_MIME_ABW,abw,application/x-abiword
CS_MIME_APNG,apng,image/apng
CS_MIME_ARC,arc,application/x-freearc
CS_MIME_AVIF,avif,image/avif
CS_MIME_AVI,avi,video/x-msvideo
CS_MIME_AZW,azw,application/vnd.amazon.ebook
CS_MIME_BIN,bin,application/octet-stream
CS_MIME_BMP,bmp,image/bmp
CS_MIME_BZ,bz,application/x-bzip
CS_MIME_BZ2,bz2,application/x-bzip2
CS_MIME_CDA,cda,aplication/x-cdf
CS_MIME_CSH,csh,applicaiton/x-csh
CS_MIME_CSS,css,text/css
CS_MIME_CSV,csv,text/csv
CS_MIME_DOC,doc,application/msword
CS_MIME_DOCX,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
CS_MIME_EOT,eot,application/vnd.ms-fontobject
CS_MIME_EPUB,epub,applicaiton/epub+zip
CS_MIME_GZ,gz,application/gzip
CS_MIME_HTM,htm,text/html
CS_MIME_HTML,html,text/html
CS_MIME_ICO,ico,image/vnd.microsoft.icon
CS_MIME_ICS,ics,text/calendar
CS_MIME_JAR,jar,application/java-archive
CS_MIME_JS,js,text/javascript
CS_MIME_JSON,json,application/json
CS_MIME_JSONLD,jsonld,application/ld+json
CS_MIME_MID,mid,audio/midi
CS_MIME_MIDI,midi,audio/midi
CS_MIME_MJS,mjs,text/javascript
CS_MIME_MP3,mp3,audio/mpeg
CS_MIME_MP4,mp4,video/mpeg
CS_MIME_ODP,odp,application/vnd.oasis.opendocument.presentation
CS_MIME_ODS,ods,application/vnd.oasis.opendocument.spreadsheet
CS_MIME_ODT,odt,application/vnd.oasis.opendocument.text
CS_MIME_OGA,oga,audio/ogg
CS_MIME_OGV,ogv,video/ogg
CS_MIME_OPUS,opus,audio/ogg
CS_MIME_OTF,otf,font/otf
CS_MIME_PNG,png,image/png
CS_MIME_PDF,pdf,application/pdf
CS_MIME_PHP,php,application/x-httpd-php
CS_MIME_PPT,ppt,application/vnd.ms-powerpoint
CS_MIME_PPTX,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
CS_MIME_RAR,rar,application/vnd.rar
CS_MIME_RTF,rtf,application/rtf
CS_MIME_SH,sh,application/x-sh
CS_MIME_SVG,svg,image/svg+xml
CS_MIME_TAR,tar,application/x-tar
CS_MIME_TIF,tif,image/tiff
CS_MIME_TIFF,tiff,image/tiff
CS_MIME_TS,ts,video/mp2t
CS_MIME_TTF,ttf,font/ttf
CS_MIME_TXT,txt,text/plain
CS_MIME_VSD,vsd,application/vnd.visio
CS_MIME_WAV,wav,audio/wav
CS_MIME_WEBA,weba,audio/webm
CS_MIME_WEBM,webm,video/webm
CS_MIME_WEBP,webp,image/webp
CS_MIME_WOFF,woff,font/woff
CS_MIME_WOFF2,woff2,font/woff2
CS_MIME_XHHTM,xhtml,application/xhtml+xml
CS_MIME_XLS,xls,application/vnd.ms-excel
CS_MIME_XLSX,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
CS_MIME_FORM_URLENCODED,xxx,application/x-www-form-urlencoded
CS_MIME_FORM_MULTIPART,xxy,multipart/form-data
CS_MIME_XUL,xul,application/vnd.mozilla.xul+xml
CS_MIME_ZIP,zip,application/zip
CS_MIME_3GP,3gp,video/3gpp
CS_MIME_3G2,3g2,video/3gpp2
CS_MIME_7z,7z,application/x-7z-compressed
